entidad,nit_entidad,departamento_entidad,ciudad_entidad,ordenentidad,codigo_pci,id_del_proceso,referencia_del_proceso,ppi,id_del_portafolio,nombre_del_procedimiento,descripci_n_del_procedimiento,fase,fecha_de_publicacion_del,fecha_de_ultima_publicaci,fecha_de_publicacion_fase_3,precio_base,modalidad_de_contratacion,justificaci_n_modalidad_de,duracion,unidad_de_duracion,ciudad_de_la_unidad_de,nombre_de_la_unidad_de,proveedores_invitados,proveedores_con_invitacion,visualizaciones_del,proveedores_que_manifestaron,respuestas_al_procedimiento,respuestas_externas,conteo_de_respuestas_a_ofertas,proveedores_unicos_con,numero_de_lotes,estado_del_procedimiento,id_estado_del_procedimiento,adjudicado,id_adjudicacion,codigoproveedor,departamento_proveedor,ciudad_proveedor,valor_total_adjudicacion,nombre_del_adjudicador,nombre_del_proveedor,nit_del_proveedor_adjudicado,codigo_principal_de_categoria,estado_de_apertura_del_proceso,tipo_de_contrato,subtipo_de_contrato,categorias_adicionales,urlproceso,codigo_entidad,estado_resumen,fecha_de_recepcion_de,fecha_de_apertura_de_respuesta,fecha_de_publicacion_fase_2,fecha_de_apertura_efectiva,fecha_adjudicacion,fecha_de_publicacion
Alcaldía De Villamaria,890801152,Caldas,Villamaría,Territorial,Centralizada,CO1.REQ.6601140,681-2024,701238073,CO1.BDOS.6475581,JHONATAN ALEXIS BERNAL LOPEZ,CONTRATO DE PRESTACIÓN DE SERVICIOS PARA APOYO A LA DIVISIÓN DE CONTROL URBANO DE LA SECRETARÍA DE GOBIERNO MUNICIPAL ESPECÍFICAMENTE EJERCIENDO CONTROL Y VIGILANCIA EN EL MUNICIPIO DE VILLAMARÍA,Presentación de oferta,2024-08-01T00:00:00.000,2024-08-01T00:00:00.000,2024-08-01T00:00:00.000,13800000,Contratación directa,Servicios profesionales y apoyo a la gestión,4,Mes(es),Villamaría,Secretaria de gobierno,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6484802'},701238073,Presentación de oferta,,,,,,
ALCALDÍA DEL DISTRITO TURÍSTICO Y CULTURAL DE CARTAGENA DE INDIAS,890480184,Bolívar,Cartagena,Territorial,Centralizada,CO1.REQ.9331945,CD-UMATA-8670-2025,703301051,CO1.BDOS.9165331,ALVARO LUIS RICO ARTEAGA,PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN QUE PERMITA DESARROLLAR LAS FUNCIONES Y/O ACTIVIDADES INHERENTES AL PROYECTO DE INVERSIÓN IMPLEMENTACIÓN DE UN CENTRO DE BIENESTAR ANIMAL EN EL DISTRITO DE CARTAGENA DE INDIAS.,Presentación de oferta,2025-11-25T00:00:00.000,2025-11-25T00:00:00.000,2025-11-25T00:00:00.000,2500000,Contratación directa,Servicios profesionales y apoyo a la gestión,1,Mes(es),Cartagena,Dirección Administrativa de Talento Humano,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9190714'},703301051,Presentación de oferta,,,,,,
ESE HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDÍO SAN JUAN DE DIOS,800000118,Quindío,Armenia,Nacional,Centralizada,CO1.REQ.8677214,CPS-1990-2025,713362234,CO1.BDOS.8523114,ANA CAROLINA MIGUEZ PULIDO,PRESTAR SERVICIOS DE MEDICINA  ESPECIALIZADA EN NEUROLOGÍA CLÍNICA PARA ATENDER USUARIOS  EN LA E.S.E HOSPITAL DEPARTAMENTAL UNIVERSITARIO DEL QUINDÍO SAN JUAN DE DIOS,Presentación de oferta,2025-08-06T00:00:00.000,2025-08-06T00:00:00.000,2025-08-06T00:00:00.000,42992976,Contratación régimen especial,Regla aplicable,3,Mes(es),No Aplica,CONTRATACION,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8570030'},713362234,Presentación de oferta,,,,,,
COMPRADOR ESE CARMEN EMILIA OSPINA PERFIL,8130052657,Huila,Neiva,Territorial,Centralizada,CO1.REQ.3364851,BYS-00167-00821-2022,718026529,CO1.BDOS.3277357,CONTRATAR  LA ACTUALIZACION Y SOPORTE TECNICO AL SOFTWARE DE CARACTERIZACION DE FICHAS FAMILIARES FAMSYSTEM PARA EL DESARROLLO Y CUMPLIMIENTO DE LAS ACTIVIDADES DEL CONVENIO No. 2137 DE 2022,CONTRATAR  LA ACTUALIZACION Y SOPORTE TECNICO AL SOFTWARE DE CARACTERIZACION DE FICHAS FAMILIARES FAMSYSTEM PARA EL DESARROLLO Y CUMPLIMIENTO DE LAS ACTIVIDADES DEL CONVENIO INTERADMINISTRATIVO No. 2137 DEL AÑO 2022 - PIC MUNICIPAL PARA LA ESE CARMEN EMILIA OSPINA.,Presentación de oferta,2022-09-14T00:00:00.000,2022-09-14T00:00:00.000,2022-09-14T00:00:00.000,7000000,Contratación régimen especial,Regla aplicable,108,día(s),Neiva,OFICINA DE CONTRATACION,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101500,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.3279593'},718026529,Presentación de oferta,,,,,,
SANTIAGO DE CALI DISTRITO ESPECIAL - DEPARTAMENTO ADMINISTRATIVO DE HACIENDA,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.10651986,4131.010.32.1.1475-2026,704964485,CO1.BDOS.10469651,CLAUDIA LILIAN RAYO GIRONZA,"Prestar servicios de apoyo a la gestión en la Subdirección de Tesorería de Santiago de Cali, para el desarrollo de actividades técnicas y asistenciales.",Presentación de oferta,2026-07-15T00:00:00.000,2026-07-15T00:00:00.000,2026-07-15T00:00:00.000,9084000,Contratación directa,Servicios profesionales y apoyo a la gestión,107,día(s),Cali,Departamento Administrativo de Hacienda Municipal,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10518407'},704964485,Presentación de oferta,,,,,,
INSTITUCION EDUCATIVA DISTRITAL JACKELINE KENNEDY,819001282,No Definido,No Definido,Nacional,Centralizada,CO1.REQ.7978795,OT-IEDJK-RE-2024-072,719325573,CO1.BDOS.7839989,TRABAJOS DE MANTENIMIENTO REALIZADOS EN LA SEDE NO. 1,"HECHURA Y MONTAJE DE UNA REJA METÁLICA PARA LA GRUTA DE LA VIRGEN;
ADEMÁS MANTENIMIENTO CON SOLDADURA DE UN ARCHIVADOR",Presentación de oferta,2025-03-18T00:00:00.000,2025-03-18T00:00:00.000,2025-03-18T00:00:00.000,500000,Contratación régimen especial,Regla aplicable,3,día(s),Santa Marta,INSTITUCIÓN,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.72102900,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7858876'},719325573,Presentación de oferta,,,,,,
ESE HOSPITAL MANUEL URIBE ANGEL,890906347,Antioquia,No Definido,Territorial,Centralizada,CO1.REQ.6608863,03-113555,703949024,CO1.BDOS.6483631,DISTRIMEDICAL SAS,"(P04) SUMINISTRO DE MATERIAL MEDICO QUIRURGICO PARA LA ATENCION DE PACIENTES DE ALTA, MEDIANA Y BAJA COMPLEJIDAD EN TODAS LAS SEDES DE LA ESE. compra de bienes y/o Servicios SIN CONTRATO",Presentación de oferta,2024-08-02T00:00:00.000,2024-08-02T00:00:00.000,2024-08-02T00:00:00.000,2354040,Contratación régimen especial,Regla aplicable,151,día(s),Envigado,PUBLICACION COMPRAS SIN CONTRATO,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.42295134,Abierto,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.6492852'},703949024,Presentación de oferta,,,,,,
E.S.E. HOSPITAL SAN FRANCISCO DE CIENAGA DE ORO,800201197,Córdoba,Ciénaga De Oro,Territorial,Centralizada,CO1.REQ.7342642,CPSPO - 036 - 2024,701032153,CO1.BDOS.7205702,NELCY ISABEL CARABALLO PEREIRA,"PRESTACIÓN DE SERVICIOS PROFESIONALES COMO ENFERMERA PARA EL APOYO EN LA EJECUCIÓN DE LAS ACTIVIDADES ESTABLECIDAS EN EL CONTRATO DE PRESTACION DE SERVICIOS DE SALUD N° 0446 DE 2024, SUSCRITO CON EL MUNICIPIO DE CIENAGA DE ORO, CUYO OBJETO ES:  IMPLEMENTACIÓN DE ESTRATEGIAS PARA LA PROMOCION DE LA SALUD Y LA GESTION DEL RIESGO EN LA COMUNIDAD DEL MUNICIPIO DE CIÉNAGA DE ORO CÓRDOBA.",Presentación de oferta,2024-12-19T00:00:00.000,2024-12-19T00:00:00.000,2024-12-19T00:00:00.000,14594395,Contratación régimen especial,Decreto 092 de 2017,32,día(s),Ciénaga De Oro,AREA ADMINISTRATIVA,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7226205'},701032153,Presentación de oferta,,,,,,
INSTITUTO DE CASAS FISCALES DE EJERCITO,860041247,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.610496,SASI-002-ICFE-2018,700787484,CO1.BDOS.590647,SUBASTA PRESENCIAL ADQUISICIÓN E INSTALACIÓN DE ELEMENTOS DE ESTANTERÍA Y MOBILIARIO PARA EL ALMACÉN,ADQUISICIÓN E INSTALACIÓN DE ELEMENTOS DE ESTANTERÍA Y MOBILIARIO PARA EL ALMACÉN DEL INSTITUTO DE CASAS FISCALES DEL EJERCITO,Presentación de observaciones,2018-11-06T00:00:00.000,2018-11-06T00:00:00.000,,183025474,Selección abreviada subasta inversa,Suministro de bienes y servicios de características técnicas uniformes y común utilización,20,día(s),Bogotá,Grupo de Adquisiciones,0,0,50,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.56101700,Cerrado,Compraventa,No Definido,"V124102000, V124102100, V124112700",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.587318'},700787484,Presentación de observaciones,2018-11-22T00:00:00.000,2018-11-30T00:00:00.000,2018-11-06T00:00:00.000,2018-11-22T00:00:00.000,,
UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.7160269,307255,700698038,CO1.BDOS.7026400,PRESTAR SERVICIOS PROFESIONALES EN EL GRUPO DE GESTIÓN TRIBUTARIA DE LA TESORERÍA DE LA SEDE BOGOTÁ.,PRESTAR SERVICIOS PROFESIONALES EN EL GRUPO DE GESTIÓN TRIBUTARIA DE LA TESORERÍA DE LA SEDE BOGOTÁ.,Presentación de oferta,2024-11-13T00:00:00.000,2024-11-13T00:00:00.000,2024-11-13T00:00:00.000,15567000,Contratación régimen especial,Decreto 092 de 2017,0,día(s),Bogotá,Bogotá Nivel Central,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.84111502,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7038771'},700698038,Presentación de oferta,,,,,,
HOCOL S.A,860072134,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.10195203,B25-0255,733708671,CO1.BDOS.10027209,SUMINISTRO DE REPUESTOS REQUERIDOS PARA LA DEVOLUCIÓN DEL PRÉSTAMO A BODEGA LA HOCHA; POR MANTENIMIENTO CORRECTIVO AL TC34; UTILIZADOS EN LA ESTACIÓN TOLIMA NORTE,"ORDEN DE COMPRA 110039231 SUMINISTRO DE REPUESTOS REQUERIDOS PARA LA DEVOLUCIÓN DEL PRÉSTAMO A BODEGA LA HOCHA, POR MANTENIMIENTO CORRECTIVO AL TC34, UTILIZADOS EN LA ESTACIÓN TOLIMA NORTE",Presentación de oferta,2026-02-20T00:00:00.000,2026-02-20T00:00:00.000,2026-02-20T00:00:00.000,18011301,Contratación régimen especial,Regla aplicable,5,Mes(es),No Aplica,HOCOL,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.26101400,Abierto,Suministros,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10052577'},733708671,Presentación de oferta,,,,,,
DISTRITO ESPECIAL INDUSTRIAL Y PORTUARIO DE BARRANQUILLA,890102018,Atlántico,Barranquilla,Territorial,Centralizada,CO1.REQ.4470584,SA-007-2023,702442096,CO1.BDOS.4369892,SUMINISTRO DE ALIMENTACION (ALMUERZO / REFRIGERIOS) PARA EL PERSONAL DE APOYO DE LA REGISTRADURIA Y TODOS LOS FUNCIONARIOS QUE PRESTEN SUS SERVICIOS A LOS PROCESOS ELECTORALES DEL 2023,SUMINISTRO DE ALIMENTACION (ALMUERZO / REFRIGERIOS) PARA EL PERSONAL DE APOYO DE LA REGISTRADURIA Y TODOS LOS FUNCIONARIOS QUE PRESTEN SUS SERVICIOS A LOS PROCESOS ELECTORALES DEL 2023,Presentación de observaciones,2023-05-05T00:00:00.000,2023-05-05T00:00:00.000,,658662210,Selección Abreviada de Menor Cuantía,Presupuesto menor al 10% de la Menor Cuantía,149,día(s),Barranquilla,Contratacion Procesos,0,0,36,0,0,0,0,0,0,Evaluación,60,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.90101800,Cerrado,Suministros,No Definido,"V190101600, V190101700",{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.4376659'},702442096,Presentación de observaciones,2023-05-23T00:00:00.000,2023-05-23T00:00:00.000,2023-05-05T00:00:00.000,2023-05-23T00:00:00.000,,
UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,Distrito Capital de Bogotá,No Definido,Nacional,Centralizada,CO1.REQ.9666195,UNAL-BOG-2026-2012-27,700698038,CO1.BDOS.9499286,PRESTAR SERVICIOS PROFESIONALES PARA REALIZAR EL APOYO ADMINISTRATIVO Y JURÍDICO A LA COORDINACIÓN DE GESTIÓN DE PROYECTOS DEL CENTRO DE GESTIÓN ACADÉMICA DE LA FACULTAD DE ARTES DE LA UNIVERSIDAD NAC,PRESTAR SERVICIOS PROFESIONALES PARA REALIZAR EL APOYO ADMINISTRATIVO Y JURÍDICO A LA COORDINACIÓN DE GESTIÓN DE PROYECTOS DEL CENTRO DE GESTIÓN ACADÉMICA DE LA FACULTAD DE ARTES DE LA UNIVERSIDAD NACIONAL DE COLOMBIA.,Presentación de oferta,2026-01-14T00:00:00.000,2026-01-14T00:00:00.000,2026-01-14T00:00:00.000,30946786,Contratación régimen especial,Decreto 092 de 2017,194,día(s),Bogotá,Bogotá Fac. Artes,0,0,0,0,0,0,0,0,0,Cancelado,100,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Decreto 092 de 2017,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9512007'},700698038,Presentación de oferta,,,,,,
ESE HOSPITAL SAN RAFAEL DE FUSAGASUGÁ,890680025,Cundinamarca,Fusagasugá,Territorial,Centralizada,CO1.REQ.8214107,1223-2025,701996191,CO1.BDOS.8070077,PRESTACIóN DE SERVICIO,"SERVICIO INTEGRAL DE IMPRESIÓN, FOTOCOPIADO Y ESCANER PARA EL DESARROLLO DE LAS ACTIVIDADES DE LOS EQUIPOS BASICOS DE SALUD DE LA E.S.E HOSPITAL SAN RAFAEL DE FUSAGASUGÁ Y PUESTOS DE SALUD ADSCRITOS.",Fase de ofertas,2025-05-06T00:00:00.000,2025-05-06T00:00:00.000,2025-05-06T00:00:00.000,46000000,Contratación régimen especial,Regla aplicable,2,Mes(es),Fusagasugá,PLAN ANUAL DE ADQUISICIONES 2025,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.81112306,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8089337'},701996191,Fase de ofertas,,,,,,
UNP,900475780,Distrito Capital de Bogotá,Bogotá,Nacional,Descentralizada,CO1.REQ.10051914,22222,700271034,CO1.BDOS.9883435,PRESTACIÓN DE SERVICIOS PROFESIONALES,PRESTAR SERVICIOS PROFESIONALES EN EL PROCESO DE NOTIFICACIÓN CONFORME A LAS DIRECTRICES Y POLÍTICAS INSTITUCIONALES DE LA ENTIDAD,,,,,47611200,Contratación directa,Servicios profesionales y apoyo a la gestión,8,Mes(es),No Aplica,CONTRATOS,0,0,0,0,0,0,0,0,0,Cancelado,0,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111701,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/STS/Users/Login/Index'},700271034,No Definido,,,,,,
Empresa Social del Estado Salud Dorada,900065515,Caldas,La Dorada,Corporación Autónoma,Descentralizada,CO1.REQ.9716264,012-2026,704667740,CO1.BDOS.9548994,CONTRATO DE PRESTACIÓN DE SERVICIOS,"PRESTACIÓN DE SERVICIOS COMO AUXILIAR DE ENFERMERÍA PARA LA EJECUCIÓN DE LAS ACTIVIDADES DEL CONTRATO INTERADMINISTRATIVO NO. CD-223-LD-2025 DEL PLAN DE SALUD PÚBLICA DE INTERVENCIONES COLECTIVAS PIC SUSCRITO ENTRE LA ALCALDÍA MUNICIPAL DE LA DORADA Y LA E.S.E. SALUD DORADA, EN RELACIÓN A LAS DIMENSIONES DEL PDSP. . SALUD MENTAL, JORNADAS DE SALUD, SALUD SEXUAL Y REPRODUCTIVA, VIDA SALUDABLE Y ENFERMEDADES TRASMISIBLES Y VIDA SALUDABLE Y ENFERMEDADES NO TRASMISIBLES, POBLACIONES VULNERABLES, EN",Presentación de oferta,2026-01-16T00:00:00.000,2026-01-16T00:00:00.000,2026-01-16T00:00:00.000,7650000,Contratación régimen especial,Regla aplicable,3,Mes(es),La Dorada,EMPRESA SOCIAL DEL ESTADO SALUD DORADA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9561976'},704667740,Presentación de oferta,,,,,,
CORPORACION AUTONOMA REGIONAL DE CUNDINAMARCA - CAR.,899999062,Distrito Capital de Bogotá,No Definido,Corporación Autónoma,Descentralizada,CO1.REQ.6078460,CAR-CPS-1597-2024,706081700,CO1.BDOS.5959387,LUIS ALEXANDER MORA MESA,"Prestar servicios profesionales a la Dirección de Cultura Ambiental y Servicio al Ciudadano de la Corporación Autónoma Regional de Cundinamarca- CAR, para los procesos de seguimiento administrativo, formulación y ejecución de acciones de movilidad sostenible en el territorio CAR",Presentación de oferta,2024-04-12T00:00:00.000,2024-04-12T00:00:00.000,2024-04-12T00:00:00.000,54000000,Contratación directa,Servicios profesionales y apoyo a la gestión,263,día(s),No Aplica,DIRECCIÓN DE GESTIÓN CONTRACTUAL,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111600,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.5975752'},706081700,Presentación de oferta,,,,,,
ROTORR-MOTOR DE INNOVACIÓN,901699676,Distrito Capital de Bogotá,Bogotá,Nacional,Centralizada,CO1.REQ.10302880,260324018,723431300,CO1.BDOS.10131297,Adquisición de un certificado digital para persona jurídica; para la vigencia 2027-2028; requerido para consumir el servicio web del RUNT 801114-03.,"Adquisición de un certificado digital para persona jurídica, para la vigencia 2027-2028, requerido para consumir el servicio web del RUNT 801114-03.",Presentación de oferta,2026-03-27T00:00:00.000,2026-03-27T00:00:00.000,2026-03-27T00:00:00.000,1026360,Contratación régimen especial,Regla aplicable,1,día(s),No Aplica,Corporación Rotorr-Motor de Innovación,0,0,0,0,0,0,0,0,0,Publicado,50,No,No Adjudicado,700147085,Distrito Capital de Bogotá,Bogotá,0,No Adjudicado,ANDES SCD S.A.,900210800,V1.81111500,Abierto,Otro,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.10159395'},723431300,Presentación de oferta,,,,,,
SANTIAGO DE CALI DISTRITO ESPECIAL - SECRETARÍA DE GESTIÓN DEL RIESGO DE EMERGENCIAS Y DESASTRE,890399011,Valle del Cauca,Cali,Territorial,Centralizada,CO1.REQ.2412125,4163.001.32.1.614-2021,702435306,CO1.BDOS.2344781,PS EDINSON MINA CUERO,Prestación de servicios de apoyo a la gestión en las actividades requeridas por la Secretaría de Gestión de Riesgo de Emergencias y Desastres en desarrollo del proyecto denominado:  Fortalecimiento de la capacidad comunitaria para la gestión del riesgo a partir de la integración al sistema de alertas tempranas de Santiago de Cali . Según Ficha EBI No. BP-26003614,Fase de ofertas,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,2021-10-28T00:00:00.000,4860000,Contratación directa,Servicios profesionales y apoyo a la gestión,64,día(s),Cali,CAM-Secretaria de Gestión del Riesgo de Emergencias y Desastres,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111501,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.2350522'},702435306,Fase de ofertas,,,,,,
ESE HNSR,8921150097,La Guajira,No Definido,Territorial,Centralizada,CO1.REQ.3764306,1671-2022,700591225,CO1.BDOS.3667894,AUXILIAR DE ENFERMERÍA,PRESTACIÓN DE SERVICIO COMO AUXILIAR DE ENFERMERÍA EN LA ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS.,,,,,3600000,Contratación régimen especial,Regla aplicable,90,día(s),Riohacha,UNIDAD_CONTRATACION_COMPRA,0,0,0,0,0,0,0,0,0,En aprobación,0,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.85101601,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/STS/Users/Login/Index'},700591225,No Definido,,,,,,
IDACO,900294898,Distrito Capital de Bogotá,No Definido,Territorial,Centralizada,CO1.REQ.8865682,IDACO-CONV-SOLID-0756-2025,702191040,CO1.BDOS.8707933,JUNTA DE ACCIÓN COMUNAL DE LA VEREDA DE LA MERCED,"Aunar esfuerzos técnicos, administrativos y financieros con la Junta de Acción Comunal de la Vereda de la Merced para el mejoramiento y/o adecuación de vivienda rural en el marco del programa  obras con capital social  en el municipio de Villapinzón, con el fin de contribuir al desarrollo social y a la mejora de las condiciones de habitabilidad de la población del departamento de Cundinamarca.",Presentación de oferta,2025-09-07T00:00:00.000,2025-09-07T00:00:00.000,2025-09-07T00:00:00.000,75148649,Contratación directa,No Defenido,3,Mes(es),Bogotá,OFICINA JURIDICA,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.72111000,Abierto,Otro,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.8736562'},702191040,Presentación de oferta,,,,,,
SECRETARÍA DISTRITAL DE MOVILIDAD,8999990619,Distrito Capital de Bogotá,Bogotá,Territorial,Centralizada,CO1.REQ.7842958,SDM-CPS-349-2025,701699407,CO1.BDOS.7699602,DANIELA ANDREA MEDINA OSPINA,"PRESTAR SERVICIOS PROFESIONALES POR SUS PROPIOS MEDIOS Y CON PLENA AUTONOMIA A LA SUBDIRECCION DE GESTION EN VIA CON EL 
PROPOSITO DE OFRECER APOYO EN LAS ACTIVIDADES DE GESTION ADMINISTRATIVA PLANIFICACION IMPLEMENTACION Y ACOMPAÑAMIENTO 
EN EL TERRITORIO ASIGNADO DEL MODELO OPERATIVO DEL PROYECTO CIEMPIES CAMINOS SEGUROS EN ARTICULACION CON LOS 
OBJETIVOS DEL PROGRAMA NIÑAS Y NIÑOS PRIMERO",Presentación de oferta,2025-02-27T00:00:00.000,2025-02-27T00:00:00.000,2025-02-27T00:00:00.000,49911150,Contratación directa,Servicios profesionales y apoyo a la gestión,345,día(s),Bogotá,DIRECCIÓN DE CONTRATACIÓN,0,0,0,0,0,0,0,0,0,Seleccionado,70,No,No Adjudicado,No Definido,No Definido,No Definido,0,No Adjudicado,No Definido,No Definido,V1.80111620,Abierto,Prestación de servicios,No Definido,No definido,{'url': 'https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.7737696'},701699407,Presentación de oferta,,,,,,
