id_del_proceso,entidad,departamento_entidad,ciudad_entidad,ordenentidad,modalidad_de_contratacion,tipo_de_contrato,codigo_principal_de_categoria,fecha_de_publicacion,fecha_adjudicacion,duracion,unidad_de_duracion,precio_base,valor_total_adjudicacion,adjudicado,estado_del_procedimiento,proveedores_invitados,conteo_de_respuestas_a_ofertas,departamento_proveedor,ciudad_proveedor,nombre_del_proveedor
CO1.REQ.10377133,HOSPITAL UNIVERSITARIO DEPARTAMENTAL DE NARIÑO,Nariño,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.85101601,,,1,Mes(es),3717655,0,No,Publicado,0,0,No Definido,No Definido,No Definido
CO1.REQ.4416246,DEPARTAMENTO DEL META,Meta,Villavicencio,Territorial,Contratación régimen especial,Obra,V1.72141100,,,6,Mes(es),13044637444,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9608988,ALCALDIA LOCAL RAFAEL URIBE URIBE,Distrito Capital de Bogotá,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,11,Mes(es),83600000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.9941546,INSTITUTO PARA LA ECONOMIA SOCIAL- IPES,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación directa,Prestación de servicios,V1.80111620,,,9,Mes(es),28800000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.8875706,ALCALDIA MUNICIPAL DE TURBACO BOLIVAR,Bolívar,Turbaco,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,0,día(s),14000000,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.7286206,IMDERS SIBATÉ,Cundinamarca,Sibaté,Territorial,Contratación directa,Prestación de servicios,V1.86101710,,,7,día(s),438667,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.903445,PROSPERIDAD SOCIAL,Distrito Capital de Bogotá,Bogotá,Nacional,Contratación régimen especial (con ofertas),Otro,V1.24121500,,2019-07-29T00:00:00.000,45,día(s),40000000,40000000,Si,Seleccionado,0,0,No Definido,No Definido,TRENDY SUPPLIERS SAS
CO1.REQ.8797772,ESE HOSPITAL PILOTO JAMUNDI,Valle del Cauca,No Definido,Territorial,Contratación régimen especial,Prestación de servicios,V1.80111614,,,31,día(s),32083590,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
CO1.REQ.3618518,REGIONAL DE ASEGURAMIENTO EN SALUD N° 8,Atlántico,Soledad,Nacional,Mínima cuantía,Prestación de servicios,V1.85121610,,2022-12-06T00:00:00.000,210,día(s),28500000,28500000,Si,Seleccionado,0,0,No Definido,No Definido,FUNDACION OFTALMOLOGICA DEL CARIBE
CO1.REQ.9569794,IDACO,Distrito Capital de Bogotá,No Definido,Territorial,Contratación directa,Prestación de servicios,V1.80111600,,,10,Mes(es),53668350,0,No,Seleccionado,0,0,No Definido,No Definido,No Definido
